City1,City2,Distance
"Albany, NY","Tampa, FL",1130.0
"Las Vegas, NV","Ontario, CA",197.0
"Denver, CO","Oakland, CA",957.0
"Denver, CO","San Diego, CA",853.0
"Orlando, FL","San Juan, PR",1189.0
"Burbank, CA","Denver, CO",850.0
"Dallas/Fort Worth, TX","Philadelphia, PA",1303.0
"Burbank, CA","Las Vegas, NV",223.0
"Dallas/Fort Worth, TX","Newark, NJ",1372.0
"Charlotte, NC","Denver, CO",1337.0
"Denver, CO","Indianapolis, IN",977.0
"Dallas/Fort Worth, TX","Orlando, FL",985.0
"Cleveland, OH","Miami, FL",1080.0
"Philadelphia, PA","Raleigh/Durham, NC",337.0
"Raleigh/Durham, NC","San Juan, PR",1433.0
"Baltimore, MD","Miami, FL",946.0
"Ontario, CA","Orlando, FL",2171.0
"Philadelphia, PA","San Juan, PR",1576.0
"New Orleans, LA","Philadelphia, PA",1089.0
"Atlanta, GA","Trenton, NJ",701.0
"Miami, FL","Philadelphia, PA",1013.0
"Miami, FL","San Juan, PR",1045.0
"Las Vegas, NV","Sacramento, CA",397.0
"Denver, CO","Raleigh/Durham, NC",1436.0
"Las Vegas, NV","Portland, OR",763.0
"Albany, NY","Orlando, FL",1073.0
"Las Vegas, NV","St. Louis, MO",1371.0
"Newark, NJ","San Juan, PR",1608.0
"Baltimore, MD","Orlando, FL",787.0
"Chicago, IL","Orlando, FL",990.0
"Denver, CO","Orlando, FL",1546.0
"Colorado Springs, CO","Orlando, FL",1520.0
"Cleveland, OH","Denver, CO",1201.0
"Cleveland, OH","Orlando, FL",895.0
"Islip, NY","Orlando, FL",971.0
"New Orleans, LA","Orlando, FL",551.0
"Cleveland, OH","Phoenix, AZ",1737.0
"Orlando, FL","San Antonio, TX",1041.0
"Orlando, FL","St. Louis, MO",882.0
"Denver, CO","Nashville, TN",1014.0
"Philadelphia, PA","Sarasota/Bradenton, FL",957.0
"Philadelphia, PA","Tampa, FL",920.0
"Dallas/Fort Worth, TX","Ontario, CA",1188.0
"Chicago, IL","Denver, CO",895.0
"Oakland, CA","Phoenix, AZ",668.0
"Phoenix, AZ","San Diego, CA",324.0
"Columbus, OH","Orlando, FL",802.0
"Denver, CO","Sioux Falls, SD",483.0
"Denver, CO","Grand Junction, CO",212.0
"Albuquerque, NM","Denver, CO",349.0
"Newburgh/Poughkeepsie, NY","Tampa, FL",1047.0
"Syracuse, NY","Tampa, FL",1104.0
"Denver, CO","Memphis, TN",872.0
"Denver, CO","Milwaukee, WI",896.0
"Providence, RI","Tampa, FL",1136.0
"Green Bay, WI","Tampa, FL",1180.0
"Nashville, TN","Philadelphia, PA",675.0
"Burbank, CA","Phoenix, AZ",369.0
"Denver, CO","Des Moines, IA",589.0
"Las Vegas, NV","Little Rock, AR",1294.0
"Des Moines, IA","Las Vegas, NV",1216.0
"Raleigh/Durham, NC","Trenton, NJ",373.0
"Las Vegas, NV","Memphis, TN",1416.0
"Fargo, ND","Orlando, FL",1526.0
"Cedar Rapids/Iowa City, IA","Orlando, FL",1097.0
"Fort Myers, FL","Trenton, NJ",1028.0
"Chicago, IL","Fort Myers, FL",1105.0
"Denver, CO","Madison, WI",826.0
"Newark, NJ","Tampa, FL",997.0
"Buffalo, NY","Tampa, FL",1053.0
"El Paso, TX","Las Vegas, NV",583.0
"Denver, CO","El Paso, TX",563.0
"Fort Myers, FL","Portland, ME",1343.0
"Orlando, FL","Portland, ME",1214.0
"Denver, CO","Little Rock, AR",771.0
"Denver, CO","Santa Ana, CA",846.0
"Cincinnati, OH","Miami, FL",948.0
"Bloomington/Normal, IL","Orlando, FL",936.0
"Denver, CO","New Orleans, LA",1062.0
"Denver, CO","Fresno, CA",844.0
"Las Vegas, NV","Omaha, NE",1099.0
"Miami, FL","Newark, NJ",1085.0
"Miami, FL","Norfolk, VA",802.0
"Denver, CO","Grand Rapids, MI",1015.0
"Denver, CO","Tulsa, OK",541.0
"Denver, CO","Oklahoma City, OK",495.0
"Omaha, NE","Orlando, FL",1211.0
"Fort Myers, FL","Omaha, NE",1299.0
"Orlando, FL","Washington, DC",759.0
"Miami, FL","Orlando, FL",192.0
"Buffalo, NY","Miami, FL",1185.0
"Little Rock, AR","Orlando, FL",776.0
"Miami, FL","Rochester, NY",1203.0
"Las Vegas, NV","Nashville, TN",1587.0
"Las Vegas, NV","San Antonio, TX",1069.0
"Green Bay, WI","Orlando, FL",1169.0
"Denver, CO","Kansas City, MO",533.0
"Memphis, TN","Orlando, FL",684.0
"Las Vegas, NV","New Orleans, LA",1500.0
"Dallas/Fort Worth, TX","San Diego, CA",1171.0
"Norfolk, VA","Orlando, FL",655.0
"Chicago, IL","Tampa, FL",1012.0
"Tampa, FL","Trenton, NJ",955.0
"Nashville, TN","Orlando, FL",616.0
"Dallas/Fort Worth, TX","Nashville, TN",631.0
"Houston, TX","Orlando, FL",849.0
"Fayetteville, AR","Orlando, FL",932.0
"Ontario, CA","Phoenix, AZ",325.0
"Cedar Rapids/Iowa City, IA","Denver, CO",692.0
"Fort Myers, FL","Indianapolis, IN",945.0
"Las Vegas, NV","Oklahoma City, OK",986.0
"Las Vegas, NV","Tucson, AZ",365.0
"Miami, FL","St. Louis, MO",1068.0
"Denver, CO","Houston, TX",883.0
"Dallas/Fort Worth, TX","Tampa, FL",929.0
"Denver, CO","Durango, CO",251.0
"Durango, CO","Las Vegas, NV",418.0
"Des Moines, IA","Orlando, FL",1141.0
"Denver, CO","Fargo, ND",627.0
"Harlingen/San Benito, TX","Las Vegas, NV",1236.0
"Chicago, IL","Miami, FL",1182.0
"Denver, CO","Omaha, NE",472.0
"Madison, WI","Orlando, FL",1109.0
"Burlington, VT","Orlando, FL",1194.0
"Las Vegas, NV","Wichita, KS",986.0
"Orlando, FL","Sioux Falls, SD",1351.0
"Miami, FL","Portland, ME",1353.0
"Fayetteville, AR","Las Vegas, NV",1163.0
"Colorado Springs, CO","Phoenix, AZ",551.0
"Miami, FL","Syracuse, NY",1217.0
"Charlotte, NC","Orlando, FL",468.0
"Orlando, FL","Wilmington, DE",841.0
"Memphis, TN","Miami, FL",859.0
"Columbus, OH","Tampa, FL",829.0
"Harlingen/San Benito, TX","Orlando, FL",1016.0
"Denver, CO","Knoxville, TN",1162.0
"Huntsville, AL","Orlando, FL",535.0
"Indianapolis, IN","Las Vegas, NV",1590.0
"Las Vegas, NV","Spokane, WA",806.0
"Jacksonville, FL","Philadelphia, PA",742.0
"Jacksonville, FL","San Juan, PR",1288.0
"Orlando, FL","Pensacola, FL",381.0
"Las Vegas, NV","Madison, WI",1454.0
"Harrisburg, PA","Orlando, FL",851.0
"Indianapolis, IN","Orlando, FL",829.0
